Sample_id,Label
MUC2682,Nummular Eczema lesional skin
MUC2683,Nummular Eczema non-lesional skin
MUC2701,Nummular Eczema lesional skin
MUC2702,Nummular Eczema non-lesional skin
MUC2715,Nummular Eczema lesional skin
MUC2716,Nummular Eczema non-lesional skin
MUC2721,Nummular Eczema lesional skin
MUC2722,Nummular Eczema non-lesional skin
MUC2727,Nummular Eczema lesional skin
MUC2728,Nummular Eczema non-lesional skin
MUC2735,Nummular Eczema lesional skin
MUC2736,Nummular Eczema non-lesional skin
MUC2949,Nummular Eczema lesional skin
MUC2950,Nummular Eczema non-lesional skin
MUC3669,Nummular Eczema lesional skin
MUC3670,Nummular Eczema non-lesional skin
MUC3673,Nummular Eczema lesional skin
MUC3674,Nummular Eczema non-lesional skin
MUC3675,Nummular Eczema lesional skin
MUC3676,Nummular Eczema non-lesional skin
MUC3681,Nummular Eczema lesional skin
MUC3682,Nummular Eczema non-lesional skin
MUC3685,Nummular Eczema lesional skin
MUC3686,Nummular Eczema non-lesional skin
MUC3687,Nummular Eczema lesional skin
MUC3688,Nummular Eczema non-lesional skin
MUC3689,Nummular Eczema lesional skin
MUC3690,Nummular Eczema non-lesional skin
MUC3693,Nummular Eczema lesional skin
MUC3694,Nummular Eczema non-lesional skin
MUC3695,Nummular Eczema lesional skin
MUC3696,Nummular Eczema non-lesional skin
MUC3707,Nummular Eczema lesional skin
MUC3708,Nummular Eczema non-lesional skin
MUC3717,Nummular Eczema lesional skin
MUC3718,Nummular Eczema non-lesional skin
MUC3719,Nummular Eczema lesional skin
MUC3720,Nummular Eczema non-lesional skin
MUC3723,Nummular Eczema lesional skin
MUC3724,Nummular Eczema non-lesional skin
MUC3725,Nummular Eczema lesional skin
MUC3726,Nummular Eczema non-lesional skin
MUC3727,Nummular Eczema lesional skin
MUC3728,Nummular Eczema non-lesional skin
MUC3731,Nummular Eczema lesional skin
MUC3732,Nummular Eczema non-lesional skin
MUC3743,Nummular Eczema lesional skin
MUC3744,Nummular Eczema non-lesional skin
MUC4249,Nummular Eczema lesional skin
MUC4250,Nummular Eczema non-lesional skin
MUC4263,Nummular Eczema lesional skin
MUC4264,Nummular Eczema non-lesional skin
MUC4277,Nummular Eczema lesional skin
MUC4278,Nummular Eczema non-lesional skin
MUC4321,Nummular Eczema lesional skin
MUC4322,Nummular Eczema non-lesional skin
MUC4325,Nummular Eczema lesional skin
MUC4326,Nummular Eczema non-lesional skin
MUC4327,Nummular Eczema lesional skin
MUC4328,Nummular Eczema non-lesional skin
MUC4331,Nummular Eczema lesional skin
MUC4332,Nummular Eczema non-lesional skin
MUC7241,Nummular Eczema lesional skin
MUC7242,Nummular Eczema non-lesional skin
MUC7247,Nummular Eczema lesional skin
MUC7248,Nummular Eczema non-lesional skin
MUC7249,Nummular Eczema lesional skin
MUC7250,Nummular Eczema non-lesional skin
MUC7255,Nummular Eczema lesional skin
MUC7256,Nummular Eczema non-lesional skin
MUC7257,Nummular Eczema lesional skin
MUC7258,Nummular Eczema non-lesional skin
MUC7261,Nummular Eczema lesional skin
MUC7262,Nummular Eczema non-lesional skin
MUC7263,Nummular Eczema lesional skin
MUC7264,Nummular Eczema non-lesional skin
MUC7265,Nummular Eczema lesional skin
MUC7266,Nummular Eczema non-lesional skin
MUC7267,Nummular Eczema lesional skin
MUC7268,Nummular Eczema non-lesional skin
MUC7269,Nummular Eczema lesional skin
MUC7270,Nummular Eczema non-lesional skin
MUC7281,Nummular Eczema lesional skin
MUC7282,Nummular Eczema non-lesional skin
MUC7283,Nummular Eczema lesional skin
MUC7284,Nummular Eczema non-lesional skin
MUC7285,Nummular Eczema lesional skin
MUC7286,Nummular Eczema non-lesional skin
MUC7289,Nummular Eczema lesional skin
MUC7290,Nummular Eczema non-lesional skin
MUC7291,Nummular Eczema lesional skin
MUC7292,Nummular Eczema non-lesional skin
MUC7295,Nummular Eczema lesional skin
MUC7296,Nummular Eczema non-lesional skin
MUC7303,Nummular Eczema lesional skin
MUC7304,Nummular Eczema non-lesional skin
MUC7307,Nummular Eczema lesional skin
MUC7308,Nummular Eczema non-lesional skin
MUC7309,Nummular Eczema lesional skin
MUC7310,Nummular Eczema non-lesional skin
MUC7369,Nummular Eczema lesional skin
MUC7370,Nummular Eczema non-lesional skin
MUC7387,Nummular Eczema lesional skin
MUC7388,Nummular Eczema non-lesional skin
