Sample_id,Label
MUC2699,psoriasis lesional skin
MUC2700,psoriasis non-lesional skin
MUC2709,psoriasis lesional skin
MUC2710,psoriasis non-lesional skin
MUC2723,psoriasis lesional skin
MUC2724,psoriasis non-lesional skin
MUC2725,psoriasis lesional skin
MUC2726,psoriasis non-lesional skin
MUC2737,psoriasis lesional skin
MUC2738,psoriasis non-lesional skin
MUC2739,psoriasis lesional skin
MUC2740,psoriasis non-lesional skin
MUC2741,psoriasis lesional skin
MUC2742,psoriasis non-lesional skin
MUC2743,psoriasis lesional skin
MUC2744,psoriasis non-lesional skin
MUC2745,psoriasis lesional skin
MUC2746,psoriasis non-lesional skin
MUC2747,psoriasis lesional skin
MUC2748,psoriasis non-lesional skin
MUC2749,psoriasis lesional skin
MUC2750,psoriasis non-lesional skin
MUC2751,psoriasis lesional skin
MUC2752,psoriasis non-lesional skin
MUC2753,psoriasis lesional skin
MUC2754,psoriasis non-lesional skin
MUC2755,psoriasis lesional skin
MUC2756,psoriasis non-lesional skin
MUC2757,psoriasis lesional skin
MUC2758,psoriasis non-lesional skin
MUC2759,psoriasis lesional skin
MUC2760,psoriasis non-lesional skin
MUC2761,psoriasis lesional skin
MUC2762,psoriasis non-lesional skin
MUC2763,psoriasis lesional skin
MUC2764,psoriasis non-lesional skin
MUC2765,psoriasis lesional skin
MUC2766,psoriasis non-lesional skin
MUC2767,psoriasis lesional skin
MUC2768,psoriasis non-lesional skin
MUC2769,psoriasis lesional skin
MUC2770,psoriasis non-lesional skin
MUC2771,psoriasis lesional skin
MUC2772,psoriasis non-lesional skin
MUC2773,psoriasis lesional skin
MUC2774,psoriasis non-lesional skin
MUC2779,psoriasis lesional skin
MUC2780,psoriasis non-lesional skin
MUC2781,psoriasis lesional skin
MUC2782,psoriasis non-lesional skin
MUC2783,psoriasis lesional skin
MUC2784,psoriasis non-lesional skin
MUC2785,psoriasis lesional skin
MUC2786,psoriasis non-lesional skin
MUC2787,psoriasis lesional skin
MUC2788,psoriasis non-lesional skin
MUC2789,psoriasis lesional skin
MUC2790,psoriasis non-lesional skin
MUC2791,psoriasis lesional skin
MUC2792,psoriasis non-lesional skin
MUC2793,psoriasis lesional skin
MUC2794,psoriasis non-lesional skin
MUC2795,psoriasis lesional skin
MUC2796,psoriasis non-lesional skin
MUC2797,psoriasis lesional skin
MUC2798,psoriasis non-lesional skin
MUC2799,psoriasis lesional skin
MUC2800,psoriasis non-lesional skin
MUC2801,psoriasis lesional skin
MUC2802,psoriasis non-lesional skin
MUC2803,psoriasis lesional skin
MUC2804,psoriasis non-lesional skin
MUC2805,psoriasis lesional skin
MUC2806,psoriasis non-lesional skin
MUC2807,psoriasis lesional skin
MUC2808,psoriasis non-lesional skin
MUC2809,psoriasis lesional skin
MUC2810,psoriasis non-lesional skin
MUC2811,psoriasis lesional skin
MUC2812,psoriasis non-lesional skin
MUC2813,psoriasis lesional skin
MUC2814,psoriasis non-lesional skin
MUC2815,psoriasis lesional skin
MUC2816,psoriasis non-lesional skin
MUC2817,psoriasis lesional skin
MUC2818,psoriasis non-lesional skin
MUC2819,psoriasis lesional skin
MUC2820,psoriasis non-lesional skin
MUC2821,psoriasis lesional skin
MUC2822,psoriasis non-lesional skin
MUC2840,psoriasis lesional skin
MUC2841,psoriasis non-lesional skin
MUC3671,psoriasis lesional skin
